s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 5.1942954E+000, 5.2070856E+002,-1.2742502E+002,-5.8423738E-002,-2.6863194E+001,-3.1435943E-002, 1.4923325E+002, 0.0000000E+000, 5.2184064E+002, 5.1556373E+002, 0.0000000E+000, 1.1241897E-002, 0.0000000E+000, 9.6890531E+003
 5.2272949E+000, 5.0602263E+002,-1.2380594E+002,-5.7798227E-002,-2.6950961E+001,-3.1308975E-002, 1.4491993E+002, 0.0000000E+000, 5.0224129E+002, 5.0009655E+002, 0.0000000E+000, 1.1241941E-002, 0.0000000E+000, 9.7642738E+003
 5.2520447E+000, 4.9999307E+002,-1.2126245E+002,-5.7931453E-002,-2.6989629E+001,-3.1303313E-002, 1.4301942E+002, 0.0000000E+000, 4.9279753E+002, 4.9467117E+002, 0.0000000E+000, 1.1241979E-002, 0.0000000E+000, 9.8197420E+003
 5.2850442E+000, 5.0077370E+002,-1.2407781E+002,-5.8168710E-002,-2.7000577E+001,-3.1396515E-002, 1.4211590E+002, 0.0000000E+000, 4.9122787E+002, 4.9172164E+002, 0.0000000E+000, 1.1242014E-002, 0.0000000E+000, 9.8933661E+003
 5.3180442E+000, 5.0786855E+002,-1.2561306E+002,-5.8229224E-002,-2.7010441E+001,-3.1378230E-002, 1.4310336E+002, 0.0000000E+000, 4.9792044E+002, 4.9825880E+002, 0.0000000E+000, 1.1242052E-002, 0.0000000E+000, 9.9674868E+003
 5.3427939E+000, 5.1389527E+002,-1.2870360E+002,-5.8063733E-002,-2.7014985E+001,-3.1290373E-002, 1.4354657E+002, 0.0000000E+000, 4.9974318E+002, 5.0163390E+002, 0.0000000E+000, 1.1242083E-002, 0.0000000E+000, 1.0023139E+004
 5.3757935E+000, 5.1980490E+002,-1.3032057E+002,-5.8095715E-002,-2.7036258E+001,-3.1337768E-002, 1.4525355E+002, 0.0000000E+000, 5.0646340E+002, 5.0761219E+002, 0.0000000E+000, 1.1242112E-002, 0.0000000E+000, 1.0098282E+004
 5.4005432E+000, 5.2085131E+002,-1.3008338E+002,-5.8601205E-002,-2.7112584E+001,-3.1390058E-002, 1.4602084E+002, 0.0000000E+000, 5.1025178E+002, 5.0958620E+002, 0.0000000E+000, 1.1242140E-002, 0.0000000E+000, 1.0155045E+004
 5.4335427E+000, 5.1124464E+002,-1.2760518E+002,-5.8528034E-002,-2.7240699E+001,-3.1290799E-002, 1.4420431E+002, 0.0000000E+000, 5.0298534E+002, 5.0051325E+002, 0.0000000E+000, 1.1242166E-002, 0.0000000E+000, 1.0229911E+004
 5.4665427E+000, 4.9766942E+002,-1.2269039E+002,-5.8205067E-002,-2.7398681E+001,-3.1273616E-002, 1.4132264E+002, 0.0000000E+000, 4.9220052E+002, 4.8881351E+002, 0.0000000E+000, 1.1242194E-002, 0.0000000E+000, 1.0303375E+004
 5.4921174E+000, 4.8283155E+002,-1.2009515E+002,-5.8394334E-002,-2.7521278E+001,-3.1180515E-002, 1.3687741E+002, 0.0000000E+000, 4.7631213E+002, 4.7200296E+002, 0.0000000E+000, 1.1242217E-002, 0.0000000E+000, 1.0358606E+004
 5.5284171E+000, 4.7347148E+002,-1.1843410E+002,-5.7457332E-002,-2.7609192E+001,-3.1169671E-002, 1.3339005E+002, 0.0000000E+000, 4.6211819E+002, 4.6072961E+002, 0.0000000E+000, 1.1242241E-002, 0.0000000E+000, 1.0434735E+004
 5.5556417E+000, 4.7162457E+002,-1.1617998E+002,-5.8122442E-002,-2.7700282E+001,-3.1184620E-002, 1.3248278E+002, 0.0000000E+000, 4.5941006E+002, 4.6013778E+002, 0.0000000E+000, 1.1242263E-002, 0.0000000E+000, 1.0491352E+004
 5.5828667E+000, 4.7305632E+002,-1.1620003E+002,-5.8349427E-002,-2.7831214E+001,-3.1159705E-002, 1.3243487E+002, 0.0000000E+000, 4.6038399E+002, 4.6137044E+002, 0.0000000E+000, 1.1242281E-002, 0.0000000E+000, 1.0547917E+004
